,data,co2,ch4,n2o
0,1961-02-28,0.00019193933724181989,0.0012205610547446344,8.623291515696963e-05
1,1961-03-31,0.0001919025036025701,0.00121907310140984,8.622547968295535e-05
2,1961-04-30,0.00019186568409690352,0.001217588771505962,8.62180454903605e-05
3,1961-05-31,0.0001918288787177147,0.0012161080518146017,8.621061257962914e-05
4,1961-06-30,0.00019179208745612186,0.0012146309291792556,8.62031809507613e-05
5,1961-07-31,0.00019175531030501958,0.0012131573905105608,8.619575060286877e-05
6,1961-08-31,0.00019171854725641424,0.0012116874227784125,8.618832153572953e-05
7,1961-09-30,0.00019168179829875953,0.001210221013018764,8.618089374934357e-05
8,1961-10-31,0.00019164506342939092,0.0012087581483298249,8.617346724282271e-05
9,1961-11-30,0.0001916083426358739,0.0012072988158712272,8.616604201594491e-05
10,1961-12-31,0.0001915716359128794,0.001205843002865109,8.61586180693763e-05
11,1962-01-31,0.0001915349432488611,0.0012043906965949758,8.615119540111849e-05
12,1962-02-28,0.00021248214639690843,0.0008319613060743247,8.614377401183759e-05
13,1962-03-31,0.00021243700732576087,0.0008312697217910392,8.613635390153362e-05
14,1962-04-30,0.00021239188742860904,0.0008305792863388395,8.612893506865227e-05
15,1962-05-31,0.00021234678669301843,0.0008298899968580964,8.612151751452579e-05
16,1962-06-30,0.0002123017051083309,0.0008292018504973686,8.611410123737784e-05
17,1962-07-31,0.0002122566426612238,0.0008285148444160395,8.610668623743045e-05
18,1962-08-31,0.0002122115993392626,0.0008278289757815971,8.609927251423954e-05
19,1962-09-30,0.00021216657513090098,0.0008271442417725761,8.609186006780511e-05
20,1962-10-31,0.00021212157002370446,0.0008264606395738394,8.608444889746103e-05
21,1962-11-30,0.00021207658400523854,0.0008257781663838504,8.607703900298525e-05
22,1962-12-31,0.0002120316170639569,0.00082509681940654,8.606963038437776e-05
23,1963-01-31,0.00021198666918831321,0.0008244165958566918,8.606222304008426e-05
24,1963-02-28,0.00014129948449159713,0.0013384826530540572,0.0001147381103892009
25,1963-03-31,0.00014127952176856695,0.0013366935117094247,0.00011472494706543657
26,1963-04-30,0.00014125956468458156,0.0013349091470485352,0.000114711786762145
27,1963-05-31,0.0001412396132378646,0.0013331295399678644,0.0001146986294768837
28,1963-06-30,0.0001412196674275279,0.0013313546714640856,0.0001146854752103188
29,1963-07-31,0.00014119972724824237,0.0013295845226378444,0.0001146723239604519
30,1963-08-31,0.00014117979270000802,0.001327819074688097,0.00011465917572595075
31,1963-09-30,0.00014115986378016032,0.0013260583089122757,0.00011464603050681532
32,1963-10-31,0.00014113994048514655,0.001324302206710759,0.00011463288830104723
33,1963-11-30,0.00014112002281319036,0.0013225507495789601,0.00011461974910842443
34,1963-12-31,0.00014110011076251538,0.001320803919111574,0.00011460661292694851
35,1964-01-31,0.0001410802043304571,0.001319061696999524,0.00011459347975639744
36,1964-02-29,0.00016456841969159086,0.0006562149955760821,8.593649298438422e-05
37,1964-03-31,0.0001645413413831065,0.0006557846598322647,8.592910853866265e-05
38,1964-04-30,0.00016451427198393986,0.0006553548881348403,8.592172536125986e-05
39,1964-05-31,0.00016448721149053824,0.0006549256793741687,8.591434345217586e-05
40,1964-06-30,0.0001644601598966844,0.0006544970324453836,8.590696281229881e-05
41,1964-07-31,0.00016443311720060194,0.0006540689462456173,8.589958343963033e-05
42,1964-08-31,0.00016440608339518548,0.0006536414196758045,8.589220533528064e-05
43,1964-09-30,0.00016437905847777046,0.0006532144516394334,8.588482849791745e-05
44,1964-10-31,0.000164352042443916,0.0006527880410416576,8.587745292754079e-05
45,1964-11-30,0.0001643250352891812,0.0006523621867924045,8.587007862370655e-05
46,1964-12-31,0.00016429803700823697,0.0006519368878035448,8.586270558685882e-05
47,1965-01-31,0.00016427104759753064,0.000651512142990196,8.585533381522126e-05
48,1965-02-28,0.00010949904199275551,6.611963689495681e-05,5.723279440683626e-05
49,1965-03-31,0.0001094870532654113,6.611526537778079e-05,5.7229519001333884e-05
50,1965-04-30,0.00010947506716263433,6.611089443844809e-05,5.722624397130893e-05
51,1965-05-31,0.00010946308368442459,6.610652407681994e-05,5.722296931542914e-05
52,1965-06-30,0.00010945110282900572,6.610215429320165e-05,5.7219695034582685e-05
53,1965-07-31,0.00010943912459637772,6.609778508737119e-05,5.721642112832548e-05
54,1965-08-31,0.00010942714898476424,6.609341645874567e-05,5.7213147596879566e-05
55,1965-09-30,0.00010941517599416528,6.608904840810226e-05,5.7209874440244946e-05
56,1965-10-31,0.00010940320562280448,6.608468093408093e-05,5.7206601657311396e-05
57,1965-11-30,0.00010939123787068183,6.608031403759762e-05,5.720332924918914e-05
58,1965-12-31,0.00010937927273690917,6.607594771840253e-05,5.720005721565613e-05
59,1966-01-31,0.00010936731022059831,6.607158197582952e-05,5.7196785556490326e-05
60,1966-02-28,0.0003488538624081272,0.0008301476812089814,2.8597166022770182e-05
61,1966-03-31,0.00034873220582998243,0.000829459107614311,2.8596348248033365e-05
62,1966-04-30,0.0003486106340737649,0.000828771675360801,2.859553052059205e-05
63,1966-05-31,0.00034848914704976863,0.000828085381612359,2.85947128397801e-05
64,1966-06-30,0.00034836774467006393,0.0008274002235433564,2.859389520515343e-05
65,1966-07-31,0.00034824642684672114,0.0008267161983372406,2.8593077618044305e-05
66,1966-08-31,0.0003481251934909224,0.0008260333031860911,2.8592260077120457e-05
67,1966-09-30,0.0003480040445138499,0.0008253515352925345,2.859144258304802e-05
68,1966-10-31,0.00034788297982935035,0.0008246708918672185,2.8590625136271086e-05
