,data,co2,ch4,n2o
87,1968-04-30,322.38,1.2887474997500001,0.291625
88,1968-05-31,322.4533333333334,1.290318888666667,0.2916666666666667
89,1968-06-30,322.52666666666664,1.2918902775833334,0.2917083333333333
90,1968-07-31,322.6,1.2934616665,0.29175
91,1968-08-31,322.67333333333335,1.295033055416667,0.29179166666666667
92,1968-09-30,322.74666666666667,1.2966044443333336,0.29183333333333333
93,1968-10-31,322.82000000000005,1.2981758332500002,0.291875
94,1968-11-30,322.8933333333334,1.2997472221666666,0.2919166666666667
95,1968-12-31,322.9666666666667,1.3013186110833332,0.2919583333333333
96,1969-01-31,323.04,1.30289,0.292
97,1969-02-28,323.1716666666667,1.3048808333333335,0.2921999999999999
98,1969-03-31,323.3033333333334,1.3068716666666669,0.2924
99,1969-04-30,323.43500000000006,1.3088625,0.2926
100,1969-05-31,323.5666666666667,1.3108533333333336,0.2928
101,1969-06-30,323.6983333333334,1.3128441666666668,0.293
102,1969-07-31,323.83000000000004,1.314835,0.2932
103,1969-08-31,323.9616666666667,1.3168258333333331,0.2934
104,1969-09-30,324.09333333333336,1.3188166666666665,0.2936
105,1969-10-31,324.225,1.3208075,0.29379999999999995
106,1969-11-30,324.3566666666667,1.3227983333333333,0.294
107,1969-12-31,324.48833333333334,1.3247891666666667,0.2941999999999999
108,1970-01-31,324.62,1.32678,0.2944
109,1970-02-28,324.7083333333333,1.3288566666666666,0.29435
110,1970-03-31,324.79666666666674,1.3309333333333333,0.29429999999999995
111,1970-04-30,324.885,1.33301,0.29425
112,1970-05-31,324.97333333333336,1.3350866666666668,0.2942000000000001
113,1970-06-30,325.06166666666667,1.3371633333333335,0.29414999999999997
114,1970-07-31,325.15,1.33924,0.29410000000000003
115,1970-08-31,325.23833333333334,1.3413166666666667,0.29405000000000003
116,1970-09-30,325.3266666666667,1.3433933333333334,0.294
117,1970-10-31,325.415,1.34547,0.29395000000000004
118,1970-11-30,325.50333333333333,1.3475466666666667,0.2939
119,1970-12-31,325.5916666666667,1.3496233333333334,0.29385
120,1971-01-31,325.68,1.3517000000000001,0.2938
121,1971-02-28,325.7333333333333,1.3521583333333334,0.29381666666666667
122,1971-03-31,325.7866666666667,1.3526166666666668,0.2938333333333334
123,1971-04-30,325.84,1.353075,0.29385
124,1971-05-31,325.8933333333334,1.3535333333333333,0.29386666666666666
125,1971-06-30,325.94666666666666,1.3539916666666665,0.29388333333333333
126,1971-07-31,326.0,1.3544500000000002,0.2939
127,1971-08-31,326.05333333333334,1.3549083333333334,0.2939166666666666
128,1971-09-30,326.1066666666667,1.3553666666666668,0.2939333333333333
129,1971-10-31,326.16,1.355825,0.29395
130,1971-11-30,326.2133333333333,1.3562833333333333,0.29396666666666665
131,1971-12-31,326.26666666666665,1.3567416666666665,0.2939833333333333
132,1972-01-31,326.32,1.3572,0.294
133,1972-02-29,326.4141666666667,1.3591083333333331,0.2941333333333333
134,1972-03-31,326.5083333333333,1.361016666666667,0.2942666666666667
135,1972-04-30,326.6025,1.3629250000000002,0.2944
136,1972-05-31,326.69666666666666,1.3648333333333338,0.29453333333333337
137,1972-06-30,326.7908333333333,1.3667416666666665,0.29466666666666663
138,1972-07-31,326.885,1.3686500000000001,0.2948
139,1972-08-31,326.97916666666663,1.3705583333333333,0.2949333333333333
140,1972-09-30,327.0733333333333,1.3724666666666667,0.29506666666666664
141,1972-10-31,327.1675,1.3743749999999997,0.2952
142,1972-11-30,327.26166666666666,1.3762833333333333,0.2953333333333334
143,1972-12-31,327.3558333333333,1.3781916666666667,0.2954666666666667
144,1973-01-31,327.45,1.3800999999999999,0.29560000000000003
145,1973-02-28,327.6358333333333,1.3805749999999999,0.29563333333333336
