data,media
1961-01-01,25.958637714285715
1961-02-01,25.484562
1961-03-01,26.161999142857145
1961-04-01,25.769233285714282
1961-05-01,25.560380714285714
1961-06-01,24.970867999999996
1961-07-01,25.857812142857142
1961-08-01,27.541615428571426
1961-09-01,28.681781428571423
1961-10-01,27.909709857142854
1961-11-01,26.61143628571429
1961-12-01,25.330566428571426
1962-01-01,25.22516085714286
1962-02-01,25.25240857142857
1962-03-01,25.359828
1962-04-01,25.237689714285718
1962-05-01,25.161319285714285
1962-06-01,24.832846999999997
1962-07-01,25.303845999999997
1962-08-01,27.341197571428573
1962-09-01,28.13094514285714
1962-10-01,27.50088542857143
1962-11-01,26.640160571428567
1962-12-01,26.358836857142855
1963-01-01,25.712533999999998
1963-02-01,25.326495571428573
1963-03-01,25.452067571428575
1963-04-01,25.29443757142857
1963-05-01,25.09306785714286
1963-06-01,25.44330457142857
1963-07-01,26.11342828571429
1963-08-01,27.548415714285714
1963-09-01,28.937045285714287
1963-10-01,29.442251000000002
1963-11-01,27.283639999999995
1963-12-01,25.897615714285713
1964-01-01,25.99124028571428
1964-02-01,26.27879142857143
1964-03-01,25.94888557142857
1964-04-01,25.47463785714286
1964-05-01,24.900706714285715
1964-06-01,24.730710571428574
1964-07-01,25.399554
1964-08-01,26.583237714285712
1964-09-01,27.228581857142853
1964-10-01,26.433289285714284
1964-11-01,26.65363214285714
1964-12-01,26.08096228571429
1965-01-01,25.95684
1965-02-01,25.813319714285715
1965-03-01,25.23144985714286
1965-04-01,25.23581842857143
1965-05-01,25.027982142857145
1965-06-01,25.10334842857143
1965-07-01,25.232583285714288
1965-08-01,26.346362142857142
1965-09-01,27.528791000000005
1965-10-01,27.568488
1965-11-01,26.714726428571428
1965-12-01,26.430443571428565
1966-01-01,25.824736428571423
1966-02-01,26.073694142857143
1966-03-01,25.921662
1966-04-01,25.559839428571426
1966-05-01,25.15322014285714
1966-06-01,25.001384
1966-07-01,25.561557571428573
1966-08-01,26.533205714285714
1966-09-01,27.02929785714286
1966-10-01,27.462009
1966-11-01,26.358750285714287
1966-12-01,25.75613242857143
1967-01-01,25.33223257142857
1967-02-01,25.539603285714286
1967-03-01,25.649005714285718
1967-04-01,25.596788714285715
1967-05-01,25.465166142857147
1967-06-01,25.09193842857143
1967-07-01,25.355472142857145
1967-08-01,26.29043942857143
1967-09-01,27.142066571428575
1967-10-01,26.885012714285715
1967-11-01,26.354745
1967-12-01,26.158998142857143
1968-01-01,25.70594
1968-02-01,25.533217571428573
1968-03-01,25.188421857142856
1968-04-01,25.034497999999996
1968-05-01,24.52841857142857
1968-06-01,25.215125999999998
1968-07-01,25.751457285714284
1968-08-01,26.306671714285716
1968-09-01,26.51151742857143
1968-10-01,27.067606714285716
1968-11-01,26.43908557142857
1968-12-01,26.005015285714283
1969-01-01,25.834746857142857
1969-02-01,26.230059000000004
1969-03-01,26.25222014285714
1969-04-01,26.204910428571427
1969-05-01,26.13669971428572
1969-06-01,25.979636571428575
1969-07-01,25.576082285714286
1969-08-01,26.787350142857143
1969-09-01,27.669035285714283
1969-10-01,27.188155857142863
1969-11-01,27.341134000000004
1969-12-01,26.403164142857143
1970-01-01,26.015049571428573
1970-02-01,26.05489257142857
1970-03-01,25.980730714285716
1970-04-01,25.772212
1970-05-01,25.67205457142857
1970-06-01,25.56726914285714
1970-07-01,25.54383157142857
1970-08-01,26.57858171428571
1970-09-01,26.579867714285715
1970-10-01,27.114380571428573
1970-11-01,26.22012442857143
1970-12-01,26.112615857142856
1971-01-01,25.541753999999997
1971-02-01,25.074484
1971-03-01,25.437885857142856
1971-04-01,25.00476814285715
1971-05-01,24.87864942857143
1971-06-01,24.723810285714283
1971-07-01,25.40470842857143
1971-08-01,25.94512657142857
1971-09-01,26.678668285714284
1971-10-01,26.234593142857143
1971-11-01,26.043473857142853
1971-12-01,26.192273285714286
1972-01-01,25.274349285714283
1972-02-01,25.267844571428572
1972-03-01,25.47520942857143
1972-04-01,25.252412142857143
1972-05-01,25.755575857142855
1972-06-01,25.666213571428568
1972-07-01,25.853735857142855
1972-08-01,26.32341285714286
1972-09-01,27.192498142857147
1972-10-01,27.35488442857143
1972-11-01,26.79576757142857
1972-12-01,26.252436142857146
1973-01-01,26.332158285714286
1973-02-01,26.278677714285717
1973-03-01,26.30305257142857
1973-04-01,26.067183
1973-05-01,25.421189285714284
1973-06-01,25.684532
1973-07-01,25.239208571428573
1973-08-01,26.103682428571428
1973-09-01,26.478248285714283
1973-10-01,26.682334285714287
1973-11-01,26.39218285714286
1973-12-01,25.384617999999996
1974-01-01,25.128963714285714
1974-02-01,24.88945642857143
1974-03-01,25.11042957142857
1974-04-01,25.169426428571427
1974-05-01,25.090516714285716
1974-06-01,25.059283142857144
1974-07-01,24.903005000000004
1974-08-01,25.961432714285714
1974-09-01,26.16807928571429
1974-10-01,26.28101171428571
1974-11-01,26.348471142857143
1974-12-01,25.358618285714282
1975-01-01,25.296265142857145
1975-02-01,25.251381714285714
1975-03-01,25.537480428571428
1975-04-01,25.559686285714285
1975-05-01,25.159327142857144
1975-06-01,25.248870571428572
1975-07-01,24.402113428571425
1975-08-01,25.933218285714286
1975-09-01,26.549832142857145
1975-10-01,26.46323542857143
1975-11-01,26.338908285714286
1975-12-01,25.508673285714288
1976-01-01,24.887175714285714
1976-02-01,25.057897428571433
1976-03-01,24.976465714285716
1976-04-01,25.205066
1976-05-01,25.21446057142857
1976-06-01,24.919628142857142
1976-07-01,25.342721714285716
1976-08-01,26.581836
1976-09-01,26.668180142857143
